Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/app/src/main/java/com/mathi_amorim/emmanuel/metrictime/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/app/src/main/java/com/mathi_amorim/emmanuel/metrictime/MainActivity.java|class:com.mathi_amorim.emmanuel.metrictime.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/app/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/app/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsFragment.java|class:com.mathi_amorim.emmanuel.metrictime.SettingsFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/app/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/app/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsActivity.java|class:com.mathi_amorim.emmanuel.metrictime.SettingsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/app/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/app/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsActivity.java|class:com.mathi_amorim.emmanuel.metrictime.SettingsActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/app/src/main/java/com/mathi_amorim/emmanuel/metrictime/UpdateTimeService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/app/src/main/java/com/mathi_amorim/emmanuel/metrictime/UpdateTimeService.java|class:com.mathi_amorim.emmanuel.metrictime.UpdateTimeService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/app/src/main/java/com/mathi_amorim/emmanuel/metrictime/UpdateTimeService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/app/src/main/java/com/mathi_amorim/emmanuel/metrictime/UpdateTimeService.java|class:com.mathi_amorim.emmanuel.metrictime.UpdateTimeService
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/src/main/java/com/mathi_amorim/emmanuel/metrictime/MetricTimeWidgetProvider.java;file:/src/main/java/com/mathi_amorim/emmanuel/metrictime/MetricTimeWidgetProvider.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/src/main/java/com/mathi_amorim/emmanuel/metrictime/MainActivity.java;file:/src/main/java/com/mathi_amorim/emmanuel/metrictime/MainActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsFragment.java;file:/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsFragment.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/src/main/java/com/mathi_amorim/emmanuel/metrictime/MetricTimeNotificationProvider.java;file:/src/main/java/com/mathi_amorim/emmanuel/metrictime/MetricTimeNotificationProvider.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsActivity.java;file:/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/src/main/java/com/mathi_amorim/emmanuel/metrictime/UpdateTimeService.java;file:/src/main/java/com/mathi_amorim/emmanuel/metrictime/UpdateTimeService.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/src/main/java/com/mathi_amorim/emmanuel/metrictime/MainActivity.java;file:/src/main/java/com/mathi_amorim/emmanuel/metrictime/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsActivity.java;file:/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/src/main/java/com/mathi_amorim/emmanuel/metrictime/MainActivity.java;file:/src/main/java/com/mathi_amorim/emmanuel/metrictime/MainActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsFragment.java;file:/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsFragment.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsActivity.java;file:/src/main/java/com/mathi_amorim/emmanuel/metrictime/SettingsActivity.java
UnreadField;SpotBugs;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;com/mathi_amorim/emmanuel/metrictime/MetricTimeConverter.java;file:com/mathi_amorim/emmanuel/metrictime/MetricTimeConverter.java|line:39
UnreadField;SpotBugs;/Users/rar9993/repos/research/fdroid_apps/native_apps/metrictime/NONE_TRANSFORMED_;com/mathi_amorim/emmanuel/metrictime/MetricTimeConverter.java;file:com/mathi_amorim/emmanuel/metrictime/MetricTimeConverter.java|line:38
