Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/app/src/main/java/com/mridang/throttle/ThrottleApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/app/src/main/java/com/mridang/throttle/ThrottleApplication.java|class:com.mridang.throttle.ThrottleApplication
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/app/src/main/java/com/mridang/throttle/ProcessorManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/app/src/main/java/com/mridang/throttle/ProcessorManager.java|class:com.mridang.throttle.ProcessorManager
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/app/src/main/java/com/mridang/throttle/FrequencyManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/app/src/main/java/com/mridang/throttle/FrequencyManager.java|class:com.mridang.throttle.FrequencyManager
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/app/src/main/java/com/mridang/throttle/HardwareService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/app/src/main/java/com/mridang/throttle/HardwareService.java|class:com.mridang.throttle.HardwareService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/app/src/main/java/com/mridang/throttle/HardwareService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/app/src/main/java/com/mridang/throttle/HardwareService.java|class:com.mridang.throttle.HardwareService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/app/src/main/java/com/mridang/throttle/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/app/src/main/java/com/mridang/throttle/SettingsActivity.java|class:com.mridang.throttle.SettingsActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/colorPicker/src/main/java/com/mridang/colorpicker/ColorPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/colorPicker/src/main/java/com/mridang/colorpicker/ColorPreference.java|class:com.mridang.colorpicker.ColorPreference
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/colorPicker/src/main/java/com/mridang/colorpicker/ColorPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/colorPicker/src/main/java/com/mridang/colorpicker/ColorPreference.java|class:com.mridang.colorpicker.ColorPreference
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/colorPicker/src/main/java/com/mridang/colorpicker/ColorPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/colorPicker/src/main/java/com/mridang/colorpicker/ColorPreference.java|class:com.mridang.colorpicker.ColorPreference
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/colorPicker/src/main/java/com/mridang/colorpicker/ColorPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/microchip/colorPicker/src/main/java/com/mridang/colorpicker/ColorPreference.java|line:35
