Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/RadioDevice.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/RadioDevice.java|class:com.freshollie.monkeyboard.keystoneradio.radio.RadioDevice
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/RadioDevice.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/RadioDevice.java|class:com.freshollie.monkeyboard.keystoneradio.radio.RadioDevice
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/RadioDevice.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/RadioDevice.java|class:com.freshollie.monkeyboard.keystoneradio.radio.RadioDevice
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/DeviceConnection.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/DeviceConnection.java|class:com.freshollie.monkeyboard.keystoneradio.radio.DeviceConnection
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/DeviceConnection.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/DeviceConnection.java|class:com.freshollie.monkeyboard.keystoneradio.radio.DeviceConnection
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/DeviceConnection.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/DeviceConnection.java|class:com.freshollie.monkeyboard.keystoneradio.radio.DeviceConnection
InternalGetterSetter;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/RadioStation.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/RadioStation.java|class:com.freshollie.monkeyboard.keystoneradio.radio.RadioStation
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/RadioStation.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/RadioStation.java|class:com.freshollie.monkeyboard.keystoneradio.radio.RadioStation
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/ListenerManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/ListenerManager.java|class:com.freshollie.monkeyboard.keystoneradio.radio.ListenerManager
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android;/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/ListenerManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/monkeyboard-radio-android/app/src/main/java/com/freshollie/monkeyboard/keystoneradio/radio/ListenerManager.java|class:com.freshollie.monkeyboard.keystoneradio.radio.ListenerManager
