Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/ds4droidApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/ds4droidApplication.java|class:com.opendoorstudios.ds4droid.ds4droidApplication
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/EmulatorThread.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/EmulatorThread.java|class:com.opendoorstudios.ds4droid.EmulatorThread
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/EmulatorThread.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/EmulatorThread.java|class:com.opendoorstudios.ds4droid.EmulatorThread
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/About.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/About.java|class:com.opendoorstudios.ds4droid.About
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/TransparencyPreference.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/TransparencyPreference.java|class:com.opendoorstudios.ds4droid.TransparencyPreference
HashmapUsage;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/ButtonLayoutEditor.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/ButtonLayoutEditor.java|class:com.opendoorstudios.ds4droid.ButtonLayoutEditor
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/ButtonLayoutEditor.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/ButtonLayoutEditor.java|class:com.opendoorstudios.ds4droid.ButtonLayoutEditor
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/ButtonLayoutEditor.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/ButtonLayoutEditor.java|class:com.opendoorstudios.ds4droid.ButtonLayoutEditor
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/ButtonLayoutEditor.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/ButtonLayoutEditor.java|class:com.opendoorstudios.ds4droid.ButtonLayoutEditor
HashmapUsage;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/Button.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/nds4droid/app/src/main/java/com/opendoorstudios/ds4droid/Button.java|class:com.opendoorstudios.ds4droid.Button
