Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/RentActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/RentActivity.java|class:com.example.hochi.nextcompanion.RentActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/RentActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/RentActivity.java|class:com.example.hochi.nextcompanion.RentActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/RequestHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/RequestHandler.java|class:com.example.hochi.nextcompanion.RequestHandler
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/MainActivity.java|class:com.example.hochi.nextcompanion.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/MainActivity.java|class:com.example.hochi.nextcompanion.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/MainActivity.java|class:com.example.hochi.nextcompanion.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/MainActivity.java|class:com.example.hochi.nextcompanion.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/LoginActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/LoginActivity.java|class:com.example.hochi.nextcompanion.LoginActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/LoginActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/LoginActivity.java|class:com.example.hochi.nextcompanion.LoginActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/ReturnActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/ReturnActivity.java|class:com.example.hochi.nextcompanion.ReturnActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/ReturnActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/ReturnActivity.java|class:com.example.hochi.nextcompanion.ReturnActivity
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/LoginActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/next-companion/app/src/main/java/com/example/hochi/nextcompanion/LoginActivity.java|line:32
