Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/AboutActivity.java|class:com.blogspot.developersu.ns_usbloader.AboutActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/MainActivity.java|class:com.blogspot.developersu.ns_usbloader.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/MainActivity.java|class:com.blogspot.developersu.ns_usbloader.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/MainActivity.java|class:com.blogspot.developersu.ns_usbloader.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/MainActivity.java|class:com.blogspot.developersu.ns_usbloader.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/ApplicationTheme.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/ApplicationTheme.java|class:com.blogspot.developersu.ns_usbloader.ApplicationTheme
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/SettingsActivity.java|class:com.blogspot.developersu.ns_usbloader.SettingsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/SettingsActivity.java|class:com.blogspot.developersu.ns_usbloader.SettingsActivity
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/pfs/PFSProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/pfs/PFSProvider.java|class:com.blogspot.developersu.ns_usbloader.pfs.PFSProvider
HashmapUsage;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/pfs/PFSProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/ns-usbloader-mobile/app/src/main/java/com/blogspot/developersu/ns_usbloader/pfs/PFSProvider.java|class:com.blogspot.developersu.ns_usbloader.pfs.PFSProvider
