Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/app/src/main/java/org/androidfromfrankfurt/archnews/NewsAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/app/src/main/java/org/androidfromfrankfurt/archnews/NewsAdapter.java|class:org.androidfromfrankfurt.archnews.NewsAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/app/src/main/java/org/androidfromfrankfurt/archnews/NewsAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/app/src/main/java/org/androidfromfrankfurt/archnews/NewsAdapter.java|class:org.androidfromfrankfurt.archnews.NewsAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/app/src/main/java/org/androidfromfrankfurt/archnews/HomeActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/app/src/main/java/org/androidfromfrankfurt/archnews/HomeActivity.java|class:org.androidfromfrankfurt.archnews.HomeActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/app/src/main/java/org/androidfromfrankfurt/archnews/HomeActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/app/src/main/java/org/androidfromfrankfurt/archnews/HomeActivity.java|class:org.androidfromfrankfurt.archnews.HomeActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/app/src/main/java/org/androidfromfrankfurt/archnews/HomeActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/app/src/main/java/org/androidfromfrankfurt/archnews/HomeActivity.java|class:org.androidfromfrankfurt.archnews.HomeActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/app/src/main/java/org/androidfromfrankfurt/archnews/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/app/src/main/java/org/androidfromfrankfurt/archnews/SettingsActivity.java|class:org.androidfromfrankfurt.archnews.SettingsActivity
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/NONE_TRANSFORMED_;/src/main/java/org/androidfromfrankfurt/archnews/NewsAdapter.java;file:/src/main/java/org/androidfromfrankfurt/archnews/NewsAdapter.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/NONE_TRANSFORMED_;/src/main/java/org/androidfromfrankfurt/archnews/HomeActivity.java;file:/src/main/java/org/androidfromfrankfurt/archnews/HomeActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/NONE_TRANSFORMED_;/src/main/java/org/androidfromfrankfurt/archnews/SettingsActivity.java;file:/src/main/java/org/androidfromfrankfurt/archnews/SettingsActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/NONE_TRANSFORMED_;/src/main/java/org/androidfromfrankfurt/archnews/HomeActivity.java;file:/src/main/java/org/androidfromfrankfurt/archnews/HomeActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/NONE_TRANSFORMED_;/src/main/java/org/androidfromfrankfurt/archnews/SettingsActivity.java;file:/src/main/java/org/androidfromfrankfurt/archnews/SettingsActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/NONE_TRANSFORMED_;/src/main/java/org/androidfromfrankfurt/archnews/HomeActivity.java;file:/src/main/java/org/androidfromfrankfurt/archnews/HomeActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/open-archnews/NONE_TRANSFORMED_;/src/main/java/org/androidfromfrankfurt/archnews/SettingsActivity.java;file:/src/main/java/org/androidfromfrankfurt/archnews/SettingsActivity.java
