Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SeedDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SeedDialogFragment.java|class:com.gunshippenguin.openflood.SeedDialogFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SeedDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SeedDialogFragment.java|class:com.gunshippenguin.openflood.SeedDialogFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SeedDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SeedDialogFragment.java|class:com.gunshippenguin.openflood.SeedDialogFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/HighScoreManager.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/HighScoreManager.java|class:com.gunshippenguin.openflood.HighScoreManager
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/EndGameDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/EndGameDialogFragment.java|class:com.gunshippenguin.openflood.EndGameDialogFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/EndGameDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/EndGameDialogFragment.java|class:com.gunshippenguin.openflood.EndGameDialogFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/InfoActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/InfoActivity.java|class:com.gunshippenguin.openflood.InfoActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/FloodView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/FloodView.java|class:com.gunshippenguin.openflood.FloodView
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/FloodView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/FloodView.java|class:com.gunshippenguin.openflood.FloodView
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/Game.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/Game.java|class:com.gunshippenguin.openflood.Game
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/Game.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/Game.java|class:com.gunshippenguin.openflood.Game
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/Game.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/Game.java|class:com.gunshippenguin.openflood.Game
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/ClearHighScoresDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/ClearHighScoresDialogFragment.java|class:com.gunshippenguin.openflood.ClearHighScoresDialogFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/GameActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/GameActivity.java|class:com.gunshippenguin.openflood.GameActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/GameActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/GameActivity.java|class:com.gunshippenguin.openflood.GameActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/GameActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/GameActivity.java|class:com.gunshippenguin.openflood.GameActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SettingsActivity.java|class:com.gunshippenguin.openflood.SettingsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SettingsActivity.java|class:com.gunshippenguin.openflood.SettingsActivity
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/Game.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/Game.java|line:17
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/Game.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/Game.java|line:57
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/GameActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/GameActivity.java|line:194
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/GameActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/GameActivity.java|line:195
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/GameActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/GameActivity.java|line:204
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SeedDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SeedDialogFragment.java|line:46
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SettingsActivity.java|line:37
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/open_flood/app/src/main/java/com/gunshippenguin/openflood/SettingsActivity.java|line:45
