Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/MainApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/MainApplication.java|class:app.fedilab.openmaps.MainApplication
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/AboutActivity.java|class:app.fedilab.openmaps.AboutActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/MainActivity.java|class:app.fedilab.openmaps.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/MainActivity.java|class:app.fedilab.openmaps.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/MainActivity.java|class:app.fedilab.openmaps.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/MainActivity.java|class:app.fedilab.openmaps.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/drawer/ContributorsDrawer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/drawer/ContributorsDrawer.java|class:app.fedilab.openmaps.drawer.ContributorsDrawer
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/webview/OpenMapsWebViewClient.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/webview/OpenMapsWebViewClient.java|class:app.fedilab.openmaps.webview.OpenMapsWebViewClient
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/webview/OpenMapsWebViewClient.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/webview/OpenMapsWebViewClient.java|class:app.fedilab.openmaps.webview.OpenMapsWebViewClient
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/webview/OpenMapsWebChromeClient.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openmaps/app/src/main/java/app/fedilab/openmaps/webview/OpenMapsWebChromeClient.java|class:app.fedilab.openmaps.webview.OpenMapsWebChromeClient
