Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/TokenListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/TokenListActivity.java|class:com.example.openpass.TokenListActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/TokenListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/TokenListActivity.java|class:com.example.openpass.TokenListActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/TokenListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/TokenListActivity.java|class:com.example.openpass.TokenListActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/GeneratorActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/GeneratorActivity.java|class:com.example.openpass.GeneratorActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/GeneratorActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/GeneratorActivity.java|class:com.example.openpass.GeneratorActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/GeneratorActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/GeneratorActivity.java|class:com.example.openpass.GeneratorActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/PinEnterActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/PinEnterActivity.java|class:com.example.openpass.PinEnterActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/PinEnterActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/PinEnterActivity.java|class:com.example.openpass.PinEnterActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/TokenEncryption.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/TokenEncryption.java|class:com.example.openpass.TokenEncryption
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/AddTokenActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openpass/app/src/main/java/com/example/openpass/AddTokenActivity.java|class:com.example.openpass.AddTokenActivity
