Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/BottomSheetRecoveryFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/BottomSheetRecoveryFragment.java|class:com.lithium.leona.openstud.fragments.BottomSheetRecoveryFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/ExamsDoneFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/ExamsDoneFragment.java|class:com.lithium.leona.openstud.fragments.ExamsDoneFragment
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/ReservationsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/ReservationsFragment.java|class:com.lithium.leona.openstud.fragments.ReservationsFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/ReservationsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/ReservationsFragment.java|class:com.lithium.leona.openstud.fragments.ReservationsFragment
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/BottomSheetCertificateFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/BottomSheetCertificateFragment.java|class:com.lithium.leona.openstud.fragments.BottomSheetCertificateFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/BottomSheetCertificateFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/BottomSheetCertificateFragment.java|class:com.lithium.leona.openstud.fragments.BottomSheetCertificateFragment
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/TabFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/TabFragment.java|class:com.lithium.leona.openstud.fragments.TabFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/TabFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/TabFragment.java|class:com.lithium.leona.openstud.fragments.TabFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/TabFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/TabFragment.java|class:com.lithium.leona.openstud.fragments.TabFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/BaseDataFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/openstud_client/app/src/main/java/com/lithium/leona/openstud/fragments/BaseDataFragment.java|class:com.lithium.leona.openstud.fragments.BaseDataFragment
