Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-contract/src/main/java/org/dmfs/tasks/contract/TaskContract.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-contract/src/main/java/org/dmfs/tasks/contract/TaskContract.java|class:org.dmfs.tasks.contract.TaskContract
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-contract/src/main/java/org/dmfs/tasks/contract/TaskContract.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-contract/src/main/java/org/dmfs/tasks/contract/TaskContract.java|class:org.dmfs.tasks.contract.TaskContract
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-contract/src/main/java/org/dmfs/tasks/contract/TaskContract.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-contract/src/main/java/org/dmfs/tasks/contract/TaskContract.java|class:org.dmfs.tasks.contract.TaskContract
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/SQLiteContentProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/SQLiteContentProvider.java|class:org.dmfs.provider.tasks.SQLiteContentProvider
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/SQLiteContentProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/SQLiteContentProvider.java|class:org.dmfs.provider.tasks.SQLiteContentProvider
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/SQLiteContentProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/SQLiteContentProvider.java|class:org.dmfs.provider.tasks.SQLiteContentProvider
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/SQLiteContentProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/SQLiteContentProvider.java|class:org.dmfs.provider.tasks.SQLiteContentProvider
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskDatabaseHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskDatabaseHelper.java|class:org.dmfs.provider.tasks.TaskDatabaseHelper
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskDatabaseHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskDatabaseHelper.java|class:org.dmfs.provider.tasks.TaskDatabaseHelper
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskDatabaseHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskDatabaseHelper.java|class:org.dmfs.provider.tasks.TaskDatabaseHelper
