File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-contract/src/main/java/org/dmfs/tasks/contract/UriFactory.java",org.dmfs.tasks.contract.UriFactory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-contract/src/main/java/org/dmfs/tasks/contract/TaskContract.java",org.dmfs.tasks.contract.TaskContract,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/androidTest/java/org/dmfs/provider/tasks/TaskProviderReparentingTest.java",org.dmfs.provider.tasks.TaskProviderReparentingTest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/androidTest/java/org/dmfs/provider/tasks/TaskProviderDetachInstancesTest.java",org.dmfs.provider.tasks.TaskProviderDetachInstancesTest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/androidTest/java/org/dmfs/provider/tasks/TaskProviderTest.java",org.dmfs.provider.tasks.TaskProviderTest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/androidTest/java/org/dmfs/provider/tasks/TaskProviderInstancesTest.java",org.dmfs.provider.tasks.TaskProviderInstancesTest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/androidTest/java/org/dmfs/provider/tasks/TaskProviderObserverTest.java",org.dmfs.provider.tasks.TaskProviderObserverTest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/androidTest/java/org/dmfs/provider/tasks/TaskProviderRecurrenceTest.java",org.dmfs.provider.tasks.TaskProviderRecurrenceTest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/androidTest/java/org/dmfs/provider/tasks/TaskProviderRelatingTest.java",org.dmfs.provider.tasks.TaskProviderRelatingTest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/SQLiteContentProvider.java",org.dmfs.provider.tasks.SQLiteContentProvider,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskProviderBroadcastReceiver.java",org.dmfs.provider.tasks.TaskProviderBroadcastReceiver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/AuthorityUtil.java",org.dmfs.provider.tasks.AuthorityUtil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskDatabaseHelper.java",org.dmfs.provider.tasks.TaskDatabaseHelper,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/Utils.java",org.dmfs.provider.tasks.Utils,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/TaskProvider.java",org.dmfs.provider.tasks.TaskProvider,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/main/java/org/dmfs/provider/tasks/FTSDatabaseHelper.java",org.dmfs.provider.tasks.FTSDatabaseHelper,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/androidTest/java/org/dmfs/provider/tasks/matchers/NotifiesMatcher.java",org.dmfs.provider.tasks.matchers.NotifiesMatcher,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/androidTest/java/org/dmfs/provider/tasks/matchers/UriMatcher.java",org.dmfs.provider.tasks.matchers.UriMatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/test/java/org/dmfs/provider/tasks/utils/ContainsValuesTest.java",org.dmfs.provider.tasks.utils.ContainsValuesTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/test/java/org/dmfs/provider/tasks/utils/TaskInstanceIterableTest.java",org.dmfs.provider.tasks.utils.TaskInstanceIterableTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/opentasks/opentasks-provider/src/test/java/org/dmfs/provider/tasks/utils/TaskInstanceIteratorTest.java",org.dmfs.provider.tasks.utils.TaskInstanceIteratorTest,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
