Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/PackListApp.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/PackListApp.java|class:com.nbossard.packlist.PackListApp
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/PacklistSharedPrefs.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/PacklistSharedPrefs.java|class:com.nbossard.packlist.PacklistSharedPrefs
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/ItemDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/ItemDetailFragment.java|class:com.nbossard.packlist.gui.ItemDetailFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MainActivityForTest.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MainActivityForTest.java|class:com.nbossard.packlist.gui.MainActivityForTest
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MainActivityForTest.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MainActivityForTest.java|class:com.nbossard.packlist.gui.MainActivityForTest
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MainActivityForTest.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MainActivityForTest.java|class:com.nbossard.packlist.gui.MainActivityForTest
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripListFragment.java|class:com.nbossard.packlist.gui.TripListFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripListFragment.java|class:com.nbossard.packlist.gui.TripListFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripListFragment.java|class:com.nbossard.packlist.gui.TripListFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripDeletionConfirmDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripDeletionConfirmDialogFragment.java|class:com.nbossard.packlist.gui.TripDeletionConfirmDialogFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripDeletionConfirmDialogFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripDeletionConfirmDialogFragment.java|class:com.nbossard.packlist.gui.TripDeletionConfirmDialogFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/PresentableItem.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/PresentableItem.java|class:com.nbossard.packlist.gui.PresentableItem
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripDetailFragment.java|class:com.nbossard.packlist.gui.TripDetailFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripDetailFragment.java|class:com.nbossard.packlist.gui.TripDetailFragment
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripDetailFragment.java|class:com.nbossard.packlist.gui.TripDetailFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripDetailFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripDetailFragment.java|class:com.nbossard.packlist.gui.TripDetailFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MainActivity.java|class:com.nbossard.packlist.gui.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MainActivity.java|class:com.nbossard.packlist.gui.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MainActivity.java|class:com.nbossard.packlist.gui.MainActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripAdapter.java|class:com.nbossard.packlist.gui.TripAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/TripAdapter.java|class:com.nbossard.packlist.gui.TripAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MassImportFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MassImportFragment.java|class:com.nbossard.packlist.gui.MassImportFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MassImportFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/MassImportFragment.java|class:com.nbossard.packlist.gui.MassImportFragment
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/NewTripFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/NewTripFragment.java|class:com.nbossard.packlist.gui.NewTripFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/NewTripFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/NewTripFragment.java|class:com.nbossard.packlist.gui.NewTripFragment
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/NewTripFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/NewTripFragment.java|class:com.nbossard.packlist.gui.NewTripFragment
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/ItemAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/ItemAdapter.java|class:com.nbossard.packlist.gui.ItemAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/ItemAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/gui/ItemAdapter.java|class:com.nbossard.packlist.gui.ItemAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/process/saving/PrefsSaving.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/process/saving/PrefsSaving.java|class:com.nbossard.packlist.process.saving.PrefsSaving
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/model/Item.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/packlist/app/src/main/java/com/nbossard/packlist/model/Item.java|class:com.nbossard.packlist.model.Item
