Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/app/src/main/java/at/or/at/plugoffairplane/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/app/src/main/java/at/or/at/plugoffairplane/AboutActivity.java|class:at.or.at.plugoffairplane.AboutActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/app/src/main/java/at/or/at/plugoffairplane/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/app/src/main/java/at/or/at/plugoffairplane/AboutActivity.java|class:at.or.at.plugoffairplane.AboutActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/app/src/main/java/at/or/at/plugoffairplane/BackgroundIntentService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/app/src/main/java/at/or/at/plugoffairplane/BackgroundIntentService.java|class:at.or.at.plugoffairplane.BackgroundIntentService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/app/src/main/java/at/or/at/plugoffairplane/BackgroundIntentService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/app/src/main/java/at/or/at/plugoffairplane/BackgroundIntentService.java|class:at.or.at.plugoffairplane.BackgroundIntentService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/app/src/main/java/at/or/at/plugoffairplane/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/app/src/main/java/at/or/at/plugoffairplane/SettingsActivity.java|class:at.or.at.plugoffairplane.SettingsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/app/src/main/java/at/or/at/plugoffairplane/SettingsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/app/src/main/java/at/or/at/plugoffairplane/SettingsActivity.java|class:at.or.at.plugoffairplane.SettingsActivity
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/src/main/java/at/or/at/plugoffairplane/BackgroundIntentPreference.java;file:/src/main/java/at/or/at/plugoffairplane/BackgroundIntentPreference.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/src/main/java/at/or/at/plugoffairplane/AboutActivity.java;file:/src/main/java/at/or/at/plugoffairplane/AboutActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/src/main/java/at/or/at/plugoffairplane/SettingsActivity.java;file:/src/main/java/at/or/at/plugoffairplane/SettingsActivity.java
LeakingThread;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/src/main/java/at/or/at/plugoffairplane/BackgroundIntentService.java;file:/src/main/java/at/or/at/plugoffairplane/BackgroundIntentService.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/src/main/java/at/or/at/plugoffairplane/AboutActivity.java;file:/src/main/java/at/or/at/plugoffairplane/AboutActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/src/main/java/at/or/at/plugoffairplane/SettingsActivity.java;file:/src/main/java/at/or/at/plugoffairplane/SettingsActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/src/main/java/at/or/at/plugoffairplane/AboutActivity.java;file:/src/main/java/at/or/at/plugoffairplane/AboutActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/plugoffairplane/NONE_TRANSFORMED_;/src/main/java/at/or/at/plugoffairplane/SettingsActivity.java;file:/src/main/java/at/or/at/plugoffairplane/SettingsActivity.java
