Issue;Tool;Project;File;Location
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/RecursiveTiling.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/RecursiveTiling.java|class:com.example.poleidoscope.RecursiveTiling
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/RecursiveTiling.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/RecursiveTiling.java|class:com.example.poleidoscope.RecursiveTiling
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/RecursiveTiling.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/RecursiveTiling.java|class:com.example.poleidoscope.RecursiveTiling
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/RecursiveTiling.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/RecursiveTiling.java|class:com.example.poleidoscope.RecursiveTiling
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/Nipple.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/Nipple.java|class:com.example.poleidoscope.Nipple
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/Nipple.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/Nipple.java|class:com.example.poleidoscope.Nipple
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/MainActivity.java|class:com.example.poleidoscope.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/MainActivity.java|class:com.example.poleidoscope.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/MainActivity.java|class:com.example.poleidoscope.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/MainActivity.java|class:com.example.poleidoscope.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/MainActivity.java|class:com.example.poleidoscope.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/SecondFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/SecondFragment.java|class:com.example.poleidoscope.SecondFragment
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/PreViewOpenGL.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/PreViewOpenGL.java|class:com.example.poleidoscope.PreViewOpenGL
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/PreViewOpenGL.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/poleidoscope/app/src/main/java/com/example/poleidoscope/PreViewOpenGL.java|class:com.example.poleidoscope.PreViewOpenGL
