File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/privacypolice/privacypolice/src/main/java/be/uhasselt/privacypolice/NotificationHandler.java",be.uhasselt.privacypolice.NotificationHandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/privacypolice/privacypolice/src/main/java/be/uhasselt/privacypolice/WakelockHandler.java",be.uhasselt.privacypolice.WakelockHandler,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/privacypolice/privacypolice/src/main/java/be/uhasselt/privacypolice/NetworkManagerActivity.java",be.uhasselt.privacypolice.NetworkManagerActivity,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/privacypolice/privacypolice/src/main/java/be/uhasselt/privacypolice/PermissionChangeReceiver.java",be.uhasselt.privacypolice.PermissionChangeReceiver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/privacypolice/privacypolice/src/main/java/be/uhasselt/privacypolice/MACManagerActivity.java",be.uhasselt.privacypolice.MACManagerActivity,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/privacypolice/privacypolice/src/main/java/be/uhasselt/privacypolice/LocationNoticeActivity.java",be.uhasselt.privacypolice.LocationNoticeActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/privacypolice/privacypolice/src/main/java/be/uhasselt/privacypolice/PreferencesStorage.java",be.uhasselt.privacypolice.PreferencesStorage,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/privacypolice/privacypolice/src/main/java/be/uhasselt/privacypolice/SSIDManagerActivity.java",be.uhasselt.privacypolice.SSIDManagerActivity,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/privacypolice/privacypolice/src/main/java/be/uhasselt/privacypolice/LocationAccess.java",be.uhasselt.privacypolice.LocationAccess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/privacypolice/privacypolice/src/main/java/be/uhasselt/privacypolice/AskPermissionActivity.java",be.uhasselt.privacypolice.AskPermissionActivity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/privacypolice/privacypolice/src/main/java/be/uhasselt/privacypolice/PreferencesActivity.java",be.uhasselt.privacypolice.PreferencesActivity,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/privacypolice/privacypolice/src/main/java/be/uhasselt/privacypolice/ScanResultsChecker.java",be.uhasselt.privacypolice.ScanResultsChecker,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
