Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/MainActivity.java|class:com.ml.proximitysensorfix.activity.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/MainActivity.java|class:com.ml.proximitysensorfix.activity.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/MainActivity.java|class:com.ml.proximitysensorfix.activity.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/FullscreenActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/FullscreenActivity.java|class:com.ml.proximitysensorfix.activity.FullscreenActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/FullscreenActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/FullscreenActivity.java|class:com.ml.proximitysensorfix.activity.FullscreenActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/PermissionsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/PermissionsActivity.java|class:com.ml.proximitysensorfix.activity.PermissionsActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/PermissionsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/PermissionsActivity.java|class:com.ml.proximitysensorfix.activity.PermissionsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/PermissionsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/activity/PermissionsActivity.java|class:com.ml.proximitysensorfix.activity.PermissionsActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/utils/Utils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/utils/Utils.java|class:com.ml.proximitysensorfix.utils.Utils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/fragment/StepFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/proximitycallfix/app/src/main/java/com/ml/proximitysensorfix/fragment/StepFragment.java|class:com.ml.proximitysensorfix.fragment.StepFragment
