Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/MainActivity.java|class:com.artivain.reseaudiscord.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/MainActivity.java|class:com.artivain.reseaudiscord.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/MainActivity.java|class:com.artivain.reseaudiscord.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/FirstFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/FirstFragment.java|class:com.artivain.reseaudiscord.FirstFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/FirstFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/FirstFragment.java|class:com.artivain.reseaudiscord.FirstFragment
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/FirstFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/FirstFragment.java|line:54
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/FirstFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/FirstFragment.java|line:64
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/FirstFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/FirstFragment.java|line:73
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/FirstFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/app/src/main/java/com/artivain/reseaudiscord/FirstFragment.java|line:82
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/reseau-discord-app/NONE_TRANSFORMED_;/src/main/java/com/artivain/reseaudiscord/MainActivity.java;file:/src/main/java/com/artivain/reseaudiscord/MainActivity.java
