Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/RGBToolApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/RGBToolApplication.java|class:com.fastebro.androidrgbtool.RGBToolApplication
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/RGBToolApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/RGBToolApplication.java|class:com.fastebro.androidrgbtool.RGBToolApplication
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/CommonUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/CommonUtils.java|class:com.fastebro.androidrgbtool.utils.CommonUtils
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/PaletteUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/PaletteUtils.java|class:com.fastebro.androidrgbtool.utils.PaletteUtils
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/AlbumStorageDirFactory.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/AlbumStorageDirFactory.java|class:com.fastebro.androidrgbtool.utils.AlbumStorageDirFactory
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/DatabaseUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/DatabaseUtils.java|class:com.fastebro.androidrgbtool.utils.DatabaseUtils
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/ImageUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/ImageUtils.java|class:com.fastebro.androidrgbtool.utils.ImageUtils
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/BaseAlbumDirFactory.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/BaseAlbumDirFactory.java|class:com.fastebro.androidrgbtool.utils.BaseAlbumDirFactory
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/CameraUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/CameraUtils.java|class:com.fastebro.androidrgbtool.utils.CameraUtils
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/CameraUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rgb-tool/android-rgb-tool/src/main/java/com/fastebro/androidrgbtool/utils/CameraUtils.java|class:com.fastebro.androidrgbtool.utils.CameraUtils
