Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationView.java|class:com.ruesga.rview.drawer.DrawerNavigationView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationView.java|class:com.ruesga.rview.drawer.DrawerNavigationView
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationView.java|class:com.ruesga.rview.drawer.DrawerNavigationView
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationView.java|class:com.ruesga.rview.drawer.DrawerNavigationView
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationSubMenu.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationSubMenu.java|class:com.ruesga.rview.drawer.DrawerNavigationSubMenu
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationMenuPresenter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationMenuPresenter.java|class:com.ruesga.rview.drawer.DrawerNavigationMenuPresenter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationMenuPresenter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationMenuPresenter.java|class:com.ruesga.rview.drawer.DrawerNavigationMenuPresenter
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationMenuPresenter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationMenuPresenter.java|class:com.ruesga.rview.drawer.DrawerNavigationMenuPresenter
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationMenu.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationMenu.java|class:com.ruesga.rview.drawer.DrawerNavigationMenu
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationMenuItemView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/rview/drawer/src/main/java/com/ruesga/rview/drawer/DrawerNavigationMenuItemView.java|class:com.ruesga.rview.drawer.DrawerNavigationMenuItemView
