Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/app/src/main/java/net/xvello/salasana/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/app/src/main/java/net/xvello/salasana/AboutActivity.java|class:net.xvello.salasana.AboutActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/app/src/main/java/net/xvello/salasana/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/app/src/main/java/net/xvello/salasana/MainActivity.java|class:net.xvello.salasana.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/app/src/main/java/net/xvello/salasana/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/app/src/main/java/net/xvello/salasana/MainActivity.java|class:net.xvello.salasana.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/app/src/main/java/net/xvello/salasana/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/app/src/main/java/net/xvello/salasana/MainActivity.java|class:net.xvello.salasana.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/app/src/main/java/net/xvello/salasana/ClipboardResetService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/app/src/main/java/net/xvello/salasana/ClipboardResetService.java|class:net.xvello.salasana.ClipboardResetService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/app/src/main/java/net/xvello/salasana/SalasanaApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/app/src/main/java/net/xvello/salasana/SalasanaApplication.java|class:net.xvello.salasana.SalasanaApplication
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/NONE_TRANSFORMED_;/src/main/java/net/xvello/salasana/AboutActivity.java;file:/src/main/java/net/xvello/salasana/AboutActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/NONE_TRANSFORMED_;/src/main/java/net/xvello/salasana/MainActivity.java;file:/src/main/java/net/xvello/salasana/MainActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/NONE_TRANSFORMED_;/src/main/java/net/xvello/salasana/ClipboardResetService.java;file:/src/main/java/net/xvello/salasana/ClipboardResetService.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/NONE_TRANSFORMED_;/src/main/java/net/xvello/salasana/SalasanaApplication.java;file:/src/main/java/net/xvello/salasana/SalasanaApplication.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/NONE_TRANSFORMED_;/src/main/java/net/xvello/salasana/AboutActivity.java;file:/src/main/java/net/xvello/salasana/AboutActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/salasana-android/NONE_TRANSFORMED_;/src/main/java/net/xvello/salasana/MainActivity.java;file:/src/main/java/net/xvello/salasana/MainActivity.java
