File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/ui/DeadlinePagerAdapter.java",com.casimirlab.simpleDeadlines.ui.DeadlinePagerAdapter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/ui/MainActivity.java",com.casimirlab.simpleDeadlines.ui.MainActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/ui/DeadlineListFragment.java",com.casimirlab.simpleDeadlines.ui.DeadlineListFragment,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/ui/TimePickerPreference.java",com.casimirlab.simpleDeadlines.ui.TimePickerPreference,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/ui/DeadlineEditor.java",com.casimirlab.simpleDeadlines.ui.DeadlineEditor,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/ui/DayCounterView.java",com.casimirlab.simpleDeadlines.ui.DayCounterView,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/ui/Settings.java",com.casimirlab.simpleDeadlines.ui.Settings,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/ui/EditorDialogFragment.java",com.casimirlab.simpleDeadlines.ui.EditorDialogFragment,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/dashclock/DeadlinesExtension.java",com.casimirlab.simpleDeadlines.dashclock.DeadlinesExtension,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/NotificationCenter.java",com.casimirlab.simpleDeadlines.NotificationCenter,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/DeadlinesWidgetProvider.java",com.casimirlab.simpleDeadlines.DeadlinesWidgetProvider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/provider/DeadlineProvider.java",com.casimirlab.simpleDeadlines.provider.DeadlineProvider,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/provider/DBHelper.java",com.casimirlab.simpleDeadlines.provider.DBHelper,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/provider/DeadlinesContract.java",com.casimirlab.simpleDeadlines.provider.DeadlinesContract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/data/DeadlinesUtils.java",com.casimirlab.simpleDeadlines.data.DeadlinesUtils,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/data/DeadlineAdapter.java",com.casimirlab.simpleDeadlines.data.DeadlineAdapter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/simpleDeadlines/src/main/java/com/casimirlab/simpleDeadlines/data/GroupAdapter.java",com.casimirlab.simpleDeadlines.data.GroupAdapter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
