Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/HelpActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/HelpActivity.java|class:com.agnibho.android.solarcompass.HelpActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/MainActivity.java|class:com.agnibho.android.solarcompass.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/MainActivity.java|class:com.agnibho.android.solarcompass.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/LocationData.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/LocationData.java|class:com.agnibho.android.solarcompass.LocationData
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/LocationActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/LocationActivity.java|class:com.agnibho.android.solarcompass.LocationActivity
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/LocationData.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/LocationData.java|line:40
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/MainActivity.java|line:55
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/MainActivity.java|line:189
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/MainActivity.java|line:192
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/solarcompass/solarcompass/src/main/java/com/agnibho/android/solarcompass/MainActivity.java|line:195
