Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/AppDatabase.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/AppDatabase.java|class:com.nishantboro.splititeasy.AppDatabase
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/MembersTabViewAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/MembersTabViewAdapter.java|class:com.nishantboro.splititeasy.MembersTabViewAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/MembersTabViewAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/MembersTabViewAdapter.java|class:com.nishantboro.splititeasy.MembersTabViewAdapter
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/MembersTabViewAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/MembersTabViewAdapter.java|class:com.nishantboro.splititeasy.MembersTabViewAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/AllMembersSpinnerAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/AllMembersSpinnerAdapter.java|class:com.nishantboro.splititeasy.AllMembersSpinnerAdapter
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/AllMembersSpinnerAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/AllMembersSpinnerAdapter.java|class:com.nishantboro.splititeasy.AllMembersSpinnerAdapter
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/HandleOnGroupClickActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/HandleOnGroupClickActivity.java|class:com.nishantboro.splititeasy.HandleOnGroupClickActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/MainActivity.java|class:com.nishantboro.splititeasy.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/MainActivity.java|class:com.nishantboro.splititeasy.MainActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/ExpensesTabViewAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/ExpensesTabViewAdapter.java|class:com.nishantboro.splititeasy.ExpensesTabViewAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/ExpensesTabViewAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/ExpensesTabViewAdapter.java|class:com.nishantboro.splititeasy.ExpensesTabViewAdapter
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/ExpensesTabViewAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/ExpensesTabViewAdapter.java|class:com.nishantboro.splititeasy.ExpensesTabViewAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/CreateNewGroupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/CreateNewGroupActivity.java|class:com.nishantboro.splititeasy.CreateNewGroupActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/CreateNewGroupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/CreateNewGroupActivity.java|class:com.nishantboro.splititeasy.CreateNewGroupActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/CreateNewGroupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/CreateNewGroupActivity.java|class:com.nishantboro.splititeasy.CreateNewGroupActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/AddEditBillActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/AddEditBillActivity.java|class:com.nishantboro.splititeasy.AddEditBillActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/AddEditBillActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/AddEditBillActivity.java|class:com.nishantboro.splititeasy.AddEditBillActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/AddEditBillActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/AddEditBillActivity.java|class:com.nishantboro.splititeasy.AddEditBillActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/BalancesTabViewAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/BalancesTabViewAdapter.java|class:com.nishantboro.splititeasy.BalancesTabViewAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/GroupListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/GroupListActivity.java|class:com.nishantboro.splititeasy.GroupListActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/GroupListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/GroupListActivity.java|class:com.nishantboro.splititeasy.GroupListActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/GroupListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/GroupListActivity.java|class:com.nishantboro.splititeasy.GroupListActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/BalancesTabFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/BalancesTabFragment.java|class:com.nishantboro.splititeasy.BalancesTabFragment
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/BalancesTabFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/split-it-easy-android/app/src/main/java/com/nishantboro/splititeasy/BalancesTabFragment.java|class:com.nishantboro.splititeasy.BalancesTabFragment
