Issue;Tool;Project;File;Location
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/AddBackupItemFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/AddBackupItemFragment.java|line:27
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java|line:25
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java|line:28
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java|line:30
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java|line:39
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java|line:48
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java|line:58
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java|line:62
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java|line:77
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java|line:82
UseStringBufferForStringAppends;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/ArgumentTokenizer.java|line:94
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java|line:126
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java|line:283
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java|line:286
AvoidFileStream;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java|line:317
AvoidFileStream;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java|line:333
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java|line:338
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java|line:407
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupActivity.java|line:412
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupHandler.java|line:175
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupHandler.java|line:177
ConsecutiveAppendsShouldReuse;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupHandler.java|line:390
AppendCharacterWithChar;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/syncopoli/app/src/main/java/org/amoradi/syncopoli/BackupHandler.java|line:391
