Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/viewDatauri.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/viewDatauri.java|class:com.github.mofosyne.tagdrop.viewDatauri
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/viewDatauri.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/viewDatauri.java|class:com.github.mofosyne.tagdrop.viewDatauri
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/viewDatauri.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/viewDatauri.java|class:com.github.mofosyne.tagdrop.viewDatauri
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/ReadMe.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/ReadMe.java|class:com.github.mofosyne.tagdrop.ReadMe
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/main.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/main.java|class:com.github.mofosyne.tagdrop.main
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/main.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/main.java|class:com.github.mofosyne.tagdrop.main
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/Receive.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/Receive.java|class:com.github.mofosyne.tagdrop.Receive
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/Receive.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/Receive.java|class:com.github.mofosyne.tagdrop.Receive
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/Receive.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/Receive.java|class:com.github.mofosyne.tagdrop.Receive
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/Receive.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tagdrop/app/src/main/java/com/github/mofosyne/tagdrop/Receive.java|class:com.github.mofosyne.tagdrop.Receive
