Issue;Tool;Project;File;Location
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/TramHunterApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/TramHunterApplication.java|class:com.andybotting.tramhunter.TramHunterApplication
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/TramHunter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/TramHunter.java|class:com.andybotting.tramhunter.TramHunter
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/TramHunter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/TramHunter.java|class:com.andybotting.tramhunter.TramHunter
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/ui/TouchListView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/ui/TouchListView.java|class:com.andybotting.tramhunter.ui.TouchListView
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/ui/TouchListView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/ui/TouchListView.java|class:com.andybotting.tramhunter.ui.TouchListView
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/ui/TouchListView.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/ui/TouchListView.java|class:com.andybotting.tramhunter.ui.TouchListView
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/util/GenericUtil.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/util/GenericUtil.java|class:com.andybotting.tramhunter.util.GenericUtil
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/activity/NearStopsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/activity/NearStopsActivity.java|class:com.andybotting.tramhunter.activity.NearStopsActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/activity/NearStopsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/activity/NearStopsActivity.java|class:com.andybotting.tramhunter.activity.NearStopsActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/activity/NearStopsActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/activity/NearStopsActivity.java|class:com.andybotting.tramhunter.activity.NearStopsActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/activity/StopMapActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/tramhunter/app/src/main/java/com/andybotting/tramhunter/activity/StopMapActivity.java|class:com.andybotting.tramhunter.activity.StopMapActivity
