Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/Editor.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/Editor.java|class:shared.turboeditor.home.Editor
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/Editor.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/Editor.java|class:shared.turboeditor.home.Editor
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/Editor.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/Editor.java|class:shared.turboeditor.home.Editor
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/texteditor/FileUtils.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/texteditor/FileUtils.java|class:shared.turboeditor.home.texteditor.FileUtils
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/texteditor/SearchResult.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/texteditor/SearchResult.java|class:shared.turboeditor.home.texteditor.SearchResult
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/texteditor/PageSystem.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/texteditor/PageSystem.java|class:shared.turboeditor.home.texteditor.PageSystem
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/texteditor/PageSystem.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/texteditor/PageSystem.java|class:shared.turboeditor.home.texteditor.PageSystem
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/texteditor/PageSystemButtons.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/home/texteditor/PageSystemButtons.java|class:shared.turboeditor.home.texteditor.PageSystemButtons
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/preferences/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/preferences/SettingsFragment.java|class:shared.turboeditor.preferences.SettingsFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/preferences/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/turbo-editor/shared/src/main/java/shared/turboeditor/preferences/SettingsFragment.java|class:shared.turboeditor.preferences.SettingsFragment
