Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/misc/HintSpinnerAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/misc/HintSpinnerAdapter.java|class:com.kanedias.vanilla.audiotag.misc.HintSpinnerAdapter
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java|class:com.kanedias.vanilla.audiotag.PluginTagWrapper
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java|class:com.kanedias.vanilla.audiotag.PluginTagWrapper
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java|class:com.kanedias.vanilla.audiotag.PluginTagWrapper
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java|class:com.kanedias.vanilla.audiotag.TagEditActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java|class:com.kanedias.vanilla.audiotag.TagEditActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java|class:com.kanedias.vanilla.audiotag.TagEditActivity
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginQueryBroadcastReceiver.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginQueryBroadcastReceiver.java|line:50
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java|line:98
AvoidFileStream;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java|line:278
AvoidFileStream;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java|line:280
AvoidFileStream;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java|line:410
AvoidFileStream;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java|line:442
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java|line:123
RedundantFieldInitializer;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java|line:338
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/src/main/java/com/kanedias/vanilla/audiotag/misc/HintSpinnerAdapter.java;file:/src/main/java/com/kanedias/vanilla/audiotag/misc/HintSpinnerAdapter.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java;file:/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/src/main/java/com/kanedias/vanilla/audiotag/PluginQueryBroadcastReceiver.java;file:/src/main/java/com/kanedias/vanilla/audiotag/PluginQueryBroadcastReceiver.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java;file:/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java
SlowForLoop;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java;file:/src/main/java/com/kanedias/vanilla/audiotag/PluginTagWrapper.java
SlowForLoop;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java;file:/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java;file:/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/NONE_TRANSFORMED_;/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java;file:/src/main/java/com/kanedias/vanilla/audiotag/TagEditActivity.java
