Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/misc/HintSpinnerAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/misc/HintSpinnerAdapter.java|class:com.kanedias.vanilla.misc.HintSpinnerAdapter
DataTransmissionWithoutCompression;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/TagEditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/TagEditActivity.java|class:com.kanedias.vanilla.TagEditActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/TagEditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/TagEditActivity.java|class:com.kanedias.vanilla.TagEditActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/TagEditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/TagEditActivity.java|class:com.kanedias.vanilla.TagEditActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/TagEditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/TagEditActivity.java|class:com.kanedias.vanilla.TagEditActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/TagEditActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/TagEditActivity.java|class:com.kanedias.vanilla.TagEditActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/PluginConstants.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/PluginConstants.java|class:com.kanedias.vanilla.PluginConstants
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/PluginService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/PluginService.java|class:com.kanedias.vanilla.PluginService
TooFewBranchesForSwitch;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/PluginQueryBroadcastReceiver.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor/app/src/main/java/com/kanedias/vanilla/PluginQueryBroadcastReceiver.java|line:42
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/vanilla-music-tag-editor;/src/main/java/com/kanedias/vanilla/misc/HintSpinnerAdapter.java;file:/src/main/java/com/kanedias/vanilla/misc/HintSpinnerAdapter.java
