Issue;Tool;Project;File;Location
HashmapUsage;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/EditProfileActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/EditProfileActivity.java|class:com.example.punksta.volumecontrol.EditProfileActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/EditProfileActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/EditProfileActivity.java|class:com.example.punksta.volumecontrol.EditProfileActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/SoundService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/SoundService.java|class:com.example.punksta.volumecontrol.SoundService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/SoundService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/SoundService.java|class:com.example.punksta.volumecontrol.SoundService
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/SoundService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/SoundService.java|class:com.example.punksta.volumecontrol.SoundService
HashmapUsage;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/MainActivity.java|class:com.example.punksta.volumecontrol.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/MainActivity.java|class:com.example.punksta.volumecontrol.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/MainActivity.java|class:com.example.punksta.volumecontrol.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/SoundApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/SoundApplication.java|class:com.example.punksta.volumecontrol.SoundApplication
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/SoundApplication.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/volume_control_android/app/src/main/java/com/example/punksta/volumecontrol/SoundApplication.java|class:com.example.punksta.volumecontrol.SoundApplication
