Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/DisplayActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/DisplayActivity.java|class:com.amabyte.vtucslabmanual.main.DisplayActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/DisplayActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/DisplayActivity.java|class:com.amabyte.vtucslabmanual.main.DisplayActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/DisplayActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/DisplayActivity.java|class:com.amabyte.vtucslabmanual.main.DisplayActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/MainListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/MainListActivity.java|class:com.amabyte.vtucslabmanual.main.MainListActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/MainListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/MainListActivity.java|class:com.amabyte.vtucslabmanual.main.MainListActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/MainListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/MainListActivity.java|class:com.amabyte.vtucslabmanual.main.MainListActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/MainListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/MainListActivity.java|class:com.amabyte.vtucslabmanual.main.MainListActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/MainListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/MainListActivity.java|class:com.amabyte.vtucslabmanual.main.MainListActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/ListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/ListActivity.java|class:com.amabyte.vtucslabmanual.main.ListActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/ListActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/vtu-cs-lab-manual/app/src/main/java/com/amabyte/vtucslabmanual/main/ListActivity.java|class:com.amabyte.vtucslabmanual.main.ListActivity
