Issue;Tool;Project;File;Location
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java|class:org.developfreedom.wordpowermadeeasy.HomeActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java|class:org.developfreedom.wordpowermadeeasy.HomeActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java|class:org.developfreedom.wordpowermadeeasy.HomeActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java|class:org.developfreedom.wordpowermadeeasy.HomeActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/storage/DatabaseOpenHelper.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/storage/DatabaseOpenHelper.java|class:org.developfreedom.wordpowermadeeasy.storage.DatabaseOpenHelper
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/word/WordPair.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/word/WordPair.java|class:org.developfreedom.wordpowermadeeasy.word.WordPair
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/word/XmlWordEngine.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/app/src/main/java/org/developfreedom/wordpowermadeeasy/word/XmlWordEngine.java|line:59
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/NONE_TRANSFORMED_;/src/main/java/org/developfreedom/wordpowermadeeasy/storage/DatabaseOpenHelper.java;file:/src/main/java/org/developfreedom/wordpowermadeeasy/storage/DatabaseOpenHelper.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/NONE_TRANSFORMED_;/src/main/java/org/developfreedom/wordpowermadeeasy/word/WordEngine.java;file:/src/main/java/org/developfreedom/wordpowermadeeasy/word/WordEngine.java
MemberIgnoringMethod;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/NONE_TRANSFORMED_;/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java;file:/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/NONE_TRANSFORMED_;/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java;file:/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java
DroppedData;DAAP;/Users/rar9993/repos/research/fdroid_apps/native_apps/wordpowermadeeasy/NONE_TRANSFORMED_;/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java;file:/src/main/java/org/developfreedom/wordpowermadeeasy/HomeActivity.java
