Issue;Tool;Project;File;Location
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/JsonHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/JsonHandler.java|class:com.selbie.wrek.JsonHandler
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/ScheduleListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/ScheduleListFragment.java|class:com.selbie.wrek.ScheduleListFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/ScheduleListFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/ScheduleListFragment.java|class:com.selbie.wrek.ScheduleListFragment
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/AboutActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/AboutActivity.java|class:com.selbie.wrek.AboutActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/MediaPlayerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/MediaPlayerService.java|class:com.selbie.wrek.MediaPlayerService
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/MediaPlayerService.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/MediaPlayerService.java|class:com.selbie.wrek.MediaPlayerService
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/MediaPlayerPresenter.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/MediaPlayerPresenter.java|class:com.selbie.wrek.MediaPlayerPresenter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/MainActivity.java|class:com.selbie.wrek.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/MainActivity.java|class:com.selbie.wrek.MainActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/MainActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/MainActivity.java|class:com.selbie.wrek.MainActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/SettingsFragment.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/wrekonline/app/src/main/java/com/selbie/wrek/SettingsFragment.java|class:com.selbie.wrek.SettingsFragment
