File,Class,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/androidTest/java/com/gimranov/zandy/app/MainActivityLoggedInTest.java",com.gimranov.zandy.app.MainActivityLoggedInTest,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/androidTest/java/com/gimranov/zandy/app/MainActivityLoggedOutTest.java",com.gimranov.zandy.app.MainActivityLoggedOutTest,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/androidTest/java/com/gimranov/zandy/app/ApiTest.java",com.gimranov.zandy.app.ApiTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/androidTest/java/com/gimranov/zandy/app/SyncTest.java",com.gimranov.zandy.app.SyncTest,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/NoteActivity.java",com.gimranov.zandy.app.NoteActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/Persistence.java",com.gimranov.zandy.app.Persistence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/TagActivity.java",com.gimranov.zandy.app.TagActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/CreatorActivity.java",com.gimranov.zandy.app.CreatorActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/RequestActivity.java",com.gimranov.zandy.app.RequestActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/Application.java",com.gimranov.zandy.app.Application,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/XMLResponseParser.java",com.gimranov.zandy.app.XMLResponseParser,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/AttachmentActivity.java",com.gimranov.zandy.app.AttachmentActivity,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/LookupActivity.java",com.gimranov.zandy.app.LookupActivity,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/ItemActivity.java",com.gimranov.zandy.app.ItemActivity,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/MainActivity.java",com.gimranov.zandy.app.MainActivity,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/ServerCredentials.java",com.gimranov.zandy.app.ServerCredentials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/ItemDataActivity.java",com.gimranov.zandy.app.ItemDataActivity,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/AmazonZxingGlue.java",com.gimranov.zandy.app.AmazonZxingGlue,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/CollectionActivity.java",com.gimranov.zandy.app.CollectionActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/Query.java",com.gimranov.zandy.app.Query,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/SyncEvent.java",com.gimranov.zandy.app.SyncEvent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/SettingsActivity.java",com.gimranov.zandy.app.SettingsActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/CollectionMembershipActivity.java",com.gimranov.zandy.app.CollectionMembershipActivity,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/storage/StorageManager.java",com.gimranov.zandy.app.storage.StorageManager,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
