Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/NoteActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/NoteActivity.java|class:com.gimranov.zandy.app.NoteActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/NoteActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/NoteActivity.java|class:com.gimranov.zandy.app.NoteActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/TagActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/TagActivity.java|class:com.gimranov.zandy.app.TagActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/TagActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/TagActivity.java|class:com.gimranov.zandy.app.TagActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/CreatorActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/CreatorActivity.java|class:com.gimranov.zandy.app.CreatorActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/CreatorActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/CreatorActivity.java|class:com.gimranov.zandy.app.CreatorActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/CreatorActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/CreatorActivity.java|class:com.gimranov.zandy.app.CreatorActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/RequestActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/RequestActivity.java|class:com.gimranov.zandy.app.RequestActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/RequestActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/RequestActivity.java|class:com.gimranov.zandy.app.RequestActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/RequestActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/RequestActivity.java|class:com.gimranov.zandy.app.RequestActivity
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/XMLResponseParser.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/XMLResponseParser.java|class:com.gimranov.zandy.app.XMLResponseParser
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/AttachmentActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/AttachmentActivity.java|class:com.gimranov.zandy.app.AttachmentActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/AttachmentActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/AttachmentActivity.java|class:com.gimranov.zandy.app.AttachmentActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/AttachmentActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/AttachmentActivity.java|class:com.gimranov.zandy.app.AttachmentActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/AttachmentActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/AttachmentActivity.java|class:com.gimranov.zandy.app.AttachmentActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/LookupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/LookupActivity.java|class:com.gimranov.zandy.app.LookupActivity
LeakingThread;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/LookupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/LookupActivity.java|class:com.gimranov.zandy.app.LookupActivity
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/LookupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/LookupActivity.java|class:com.gimranov.zandy.app.LookupActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/LookupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/LookupActivity.java|class:com.gimranov.zandy.app.LookupActivity
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/NONE_TRANSFORMED_;/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/LookupActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/native_apps/zandy/src/main/java/com/gimranov/zandy/app/LookupActivity.java|class:com.gimranov.zandy.app.LookupActivity
