Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/contract/src/main/java/com/nononsenseapps/notepad/providercontract/ProviderBase.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/contract/src/main/java/com/nononsenseapps/notepad/providercontract/ProviderBase.java|class:com.nononsenseapps.notepad.providercontract.ProviderBase
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/contract/src/main/java/com/nononsenseapps/notepad/providercontract/ProviderBase.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/contract/src/main/java/com/nononsenseapps/notepad/providercontract/ProviderBase.java|class:com.nononsenseapps.notepad.providercontract.ProviderBase
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/contract/src/main/java/com/nononsenseapps/notepad/providercontract/ProviderBase.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/contract/src/main/java/com/nononsenseapps/notepad/providercontract/ProviderBase.java|class:com.nononsenseapps.notepad.providercontract.ProviderBase
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/DatabaseHandler.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/DatabaseHandler.java|class:com.nononsenseapps.notepad.database.DatabaseHandler
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/ItemProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/ItemProvider.java|class:com.nononsenseapps.notepad.database.ItemProvider
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/ItemProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/ItemProvider.java|class:com.nononsenseapps.notepad.database.ItemProvider
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/ItemProvider.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/ItemProvider.java|class:com.nononsenseapps.notepad.database.ItemProvider
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/taskviewItem.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/taskviewItem.java|class:com.nononsenseapps.notepad.database.taskviewItem
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/taskviewItem.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/taskviewItem.java|class:com.nononsenseapps.notepad.database.taskviewItem
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/DBItem.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/DBItem.java|class:com.nononsenseapps.notepad.database.DBItem
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/DBItem.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/NotePad/app/dbgenout/com/nononsenseapps/notepad/database/DBItem.java|class:com.nononsenseapps.notepad.database.DBItem
