Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/FindCitiesQueryProcessor.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/FindCitiesQueryProcessor.java|class:com.haringeymobile.ukweather.FindCitiesQueryProcessor
SlowForLoop;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/FindCitiesQueryProcessor.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/FindCitiesQueryProcessor.java|class:com.haringeymobile.ukweather.FindCitiesQueryProcessor
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CitySearchResultsDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CitySearchResultsDialog.java|class:com.haringeymobile.ukweather.CitySearchResultsDialog
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CitySearchResultsDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CitySearchResultsDialog.java|class:com.haringeymobile.ukweather.CitySearchResultsDialog
NoLowMemoryResolver;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CitySearchResultsDialog.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CitySearchResultsDialog.java|class:com.haringeymobile.ukweather.CitySearchResultsDialog
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CityListFragmentWithWeatherButtons.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CityListFragmentWithWeatherButtons.java|class:com.haringeymobile.ukweather.CityListFragmentWithWeatherButtons
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CityListFragmentWithWeatherButtons.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CityListFragmentWithWeatherButtons.java|class:com.haringeymobile.ukweather.CityListFragmentWithWeatherButtons
UnclosedCloseable;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CityWeatherCursorAdapter.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CityWeatherCursorAdapter.java|class:com.haringeymobile.ukweather.CityWeatherCursorAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CityManagementActivity.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CityManagementActivity.java|class:com.haringeymobile.ukweather.CityManagementActivity
LeakingInnerClass;aDoctor;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather;/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CityListFragmentWithUtilityButtons.java;file:/Users/rar9993/repos/research/fdroid_apps/similar_fdroid_vibe_apps/World-Weather/WorldWeather/app/src/main/java/com/haringeymobile/ukweather/CityListFragmentWithUtilityButtons.java|class:com.haringeymobile.ukweather.CityListFragmentWithUtilityButtons
