Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/AndroidStudioProjects/FlappyBird;/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java|class:com.sanad.gemini_2_dot_5_pro_preview.flappybird.GameView
LeakingThread;aDoctor;/Users/rar9993/AndroidStudioProjects/FlappyBird;/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java|class:com.sanad.gemini_2_dot_5_pro_preview.flappybird.GameView
MemberIgnoringMethod;aDoctor;/Users/rar9993/AndroidStudioProjects/FlappyBird;/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java|class:com.sanad.gemini_2_dot_5_pro_preview.flappybird.GameView
SlowForLoop;aDoctor;/Users/rar9993/AndroidStudioProjects/FlappyBird;/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java|class:com.sanad.gemini_2_dot_5_pro_preview.flappybird.GameView
MemberIgnoringMethod;aDoctor;/Users/rar9993/AndroidStudioProjects/FlappyBird;/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/MainActivity.java|class:com.sanad.gemini_2_dot_5_pro_preview.flappybird.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/AndroidStudioProjects/FlappyBird;/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/MainActivity.java|class:com.sanad.gemini_2_dot_5_pro_preview.flappybird.MainActivity
RedundantFieldInitializer;PMD;/Users/rar9993/AndroidStudioProjects/FlappyBird;/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java|line:30
RedundantFieldInitializer;PMD;/Users/rar9993/AndroidStudioProjects/FlappyBird;/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java|line:32
RedundantFieldInitializer;PMD;/Users/rar9993/AndroidStudioProjects/FlappyBird;/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java|line:66
RedundantFieldInitializer;PMD;/Users/rar9993/AndroidStudioProjects/FlappyBird;/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/FlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/flappybird/GameView.java|line:484
