Issue;Tool;Project;File;Location
LeakingThread;aDoctor;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java|class:com.sanad.gpt4o.gptflappybird.GameView
MemberIgnoringMethod;aDoctor;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java|class:com.sanad.gpt4o.gptflappybird.GameView
NoLowMemoryResolver;aDoctor;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/MainActivity.java|class:com.sanad.gpt4o.gptflappybird.MainActivity
RedundantFieldInitializer;PMD;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/Bird.java;file:/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/Bird.java|line:14
RedundantFieldInitializer;PMD;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java|line:22
TooFewBranchesForSwitch;PMD;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java|line:74
MemberIgnoringMethod;DAAP;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;file:/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java
MemberIgnoringMethod;DAAP;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/src/main/java/com/sanad/gpt4o/gptflappybird/MainActivity.java;file:/src/main/java/com/sanad/gpt4o/gptflappybird/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/src/main/java/com/sanad/gpt4o/gptflappybird/MainActivity.java;file:/src/main/java/com/sanad/gpt4o/gptflappybird/MainActivity.java
DroppedData;DAAP;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/src/main/java/com/sanad/gpt4o/gptflappybird/MainActivity.java;file:/src/main/java/com/sanad/gpt4o/gptflappybird/MainActivity.java
SyntheticAccessor;Lint;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java|line:38
SyntheticAccessor;Lint;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java|line:37
SyntheticAccessor;Lint;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java|line:40
SyntheticAccessor;Lint;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java;file:/Users/rar9993/AndroidStudioProjects/GPTFlappyBird/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptflappybird/GameView.java|line:39
FieldShouldBeStatic;SpotBugs;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;com/sanad/gpt4o/gptflappybird/Bird.java;file:com/sanad/gpt4o/gptflappybird/Bird.java|line:13
FieldShouldBeStatic;SpotBugs;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;com/sanad/gpt4o/gptflappybird/Bird.java;file:com/sanad/gpt4o/gptflappybird/Bird.java|line:12
FieldShouldBeStatic;SpotBugs;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;com/sanad/gpt4o/gptflappybird/Bird.java;file:com/sanad/gpt4o/gptflappybird/Bird.java|line:11
FieldShouldBeStatic;SpotBugs;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;com/sanad/gpt4o/gptflappybird/GameView.java;file:com/sanad/gpt4o/gptflappybird/GameView.java|line:27
FieldShouldBeStatic;SpotBugs;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;com/sanad/gpt4o/gptflappybird/GameView.java;file:com/sanad/gpt4o/gptflappybird/GameView.java|line:25
FieldShouldBeStatic;SpotBugs;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;com/sanad/gpt4o/gptflappybird/GameView.java;file:com/sanad/gpt4o/gptflappybird/GameView.java|line:26
FieldShouldBeStatic;SpotBugs;/Users/rar9993/AndroidStudioProjects/GPTFlappyBird;com/sanad/gpt4o/gptflappybird/Pipe.java;file:com/sanad/gpt4o/gptflappybird/Pipe.java|line:14
