Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java|class:com.sanad.gpt4o.gptgame2048.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java|class:com.sanad.gpt4o.gptgame2048.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java|class:com.sanad.gpt4o.gptgame2048.MainActivity
LeakingInnerClass;aDoctor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/OnSwipeTouchListener.java;file:/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/OnSwipeTouchListener.java|class:com.sanad.gpt4o.gptgame2048.OnSwipeTouchListener
MemberIgnoringMethod;aDoctor;/Users/rar9993/AndroidStudioProjects/GPTGame2048;/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/OnSwipeTouchListener.java;file:/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/OnSwipeTouchListener.java|class:com.sanad.gpt4o.gptgame2048.OnSwipeTouchListener
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/AndroidStudioProjects/GPTGame2048;/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java|line:60
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/AndroidStudioProjects/GPTGame2048;/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java|line:94
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/AndroidStudioProjects/GPTGame2048;/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java|line:119
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/AndroidStudioProjects/GPTGame2048;/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java|line:143
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/AndroidStudioProjects/GPTGame2048;/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GPTGame2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptgame2048/MainActivity.java|line:147
