Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java|class:com.sanad.gpt4o.gptphotogallery.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java|class:com.sanad.gpt4o.gptphotogallery.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptphotogallery/PhotoDetailActivity.java;file:/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptphotogallery/PhotoDetailActivity.java|class:com.sanad.gpt4o.gptphotogallery.PhotoDetailActivity
MemberIgnoringMethod;DAAP;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java;file:/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java
MemberIgnoringMethod;DAAP;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;/src/main/java/com/sanad/gpt4o/gptphotogallery/PhotoDetailActivity.java;file:/src/main/java/com/sanad/gpt4o/gptphotogallery/PhotoDetailActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java;file:/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;/src/main/java/com/sanad/gpt4o/gptphotogallery/PhotoDetailActivity.java;file:/src/main/java/com/sanad/gpt4o/gptphotogallery/PhotoDetailActivity.java
DroppedData;DAAP;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java;file:/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java
DroppedData;DAAP;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;/src/main/java/com/sanad/gpt4o/gptphotogallery/PhotoDetailActivity.java;file:/src/main/java/com/sanad/gpt4o/gptphotogallery/PhotoDetailActivity.java
SyntheticAccessor;Lint;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java|line:48
IPCOnUIThread;Infer;/Users/rar9993/AndroidStudioProjects/GPTPhotoGallery;app/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java;file:app/src/main/java/com/sanad/gpt4o/gptphotogallery/MainActivity.java|line:39
