Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/AndroidStudioProjects/GalleryApp;/Users/rar9993/AndroidStudioProjects/GalleryApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/PhotoAdapter.java;file:/Users/rar9993/AndroidStudioProjects/GalleryApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/PhotoAdapter.java|class:com.sanad.gemini_2_dot_5_pro_preview.galleryapp.PhotoAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/AndroidStudioProjects/GalleryApp;/Users/rar9993/AndroidStudioProjects/GalleryApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/PhotoAdapter.java;file:/Users/rar9993/AndroidStudioProjects/GalleryApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/PhotoAdapter.java|class:com.sanad.gemini_2_dot_5_pro_preview.galleryapp.PhotoAdapter
MemberIgnoringMethod;aDoctor;/Users/rar9993/AndroidStudioProjects/GalleryApp;/Users/rar9993/AndroidStudioProjects/GalleryApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GalleryApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/MainActivity.java|class:com.sanad.gemini_2_dot_5_pro_preview.galleryapp.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/AndroidStudioProjects/GalleryApp;/Users/rar9993/AndroidStudioProjects/GalleryApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/GalleryApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/MainActivity.java|class:com.sanad.gemini_2_dot_5_pro_preview.galleryapp.MainActivity
MemberIgnoringMethod;DAAP;/Users/rar9993/AndroidStudioProjects/GalleryApp;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/PhotoAdapter.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/PhotoAdapter.java
MemberIgnoringMethod;DAAP;/Users/rar9993/AndroidStudioProjects/GalleryApp;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/AndroidStudioProjects/GalleryApp;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/MainActivity.java
DroppedData;DAAP;/Users/rar9993/AndroidStudioProjects/GalleryApp;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/galleryapp/MainActivity.java
UnusedResources;Lint;/Users/rar9993/AndroidStudioProjects/GalleryApp;/Users/rar9993/AndroidStudioProjects/GalleryApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/AndroidStudioProjects/GalleryApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:16
UnusedResources;Lint;/Users/rar9993/AndroidStudioProjects/GalleryApp;/Users/rar9993/AndroidStudioProjects/GalleryApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/AndroidStudioProjects/GalleryApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:12
