Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java|class:com.sanad.gemini_2_dot_5_pro_preview.scientificcalculator.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java|class:com.sanad.gemini_2_dot_5_pro_preview.scientificcalculator.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java|class:com.sanad.gemini_2_dot_5_pro_preview.scientificcalculator.MainActivity
AppendCharacterWithChar;PMD;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java|line:80
AppendCharacterWithChar;PMD;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java|line:86
AppendCharacterWithChar;PMD;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java|line:91
AppendCharacterWithChar;PMD;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java|line:101
AppendCharacterWithChar;PMD;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java|line:101
AppendCharacterWithChar;PMD;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java|line:105
MemberIgnoringMethod;DAAP;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java
SlowForLoop;DAAP;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java
DroppedData;DAAP;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/scientificcalculator/MainActivity.java
UnusedResources;Lint;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/AndroidStudioProjects/ScientificCalculator/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:3
