Issue;Tool;Project;File;Location
MemberIgnoringMethod;aDoctor;/Users/rar9993/AndroidStudioProjects/WeatherApp;/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java|class:com.sanad.gemini_2_dot_5_pro_preview.weatherapp.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/AndroidStudioProjects/WeatherApp;/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java|class:com.sanad.gemini_2_dot_5_pro_preview.weatherapp.MainActivity
SlowForLoop;aDoctor;/Users/rar9993/AndroidStudioProjects/WeatherApp;/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java|class:com.sanad.gemini_2_dot_5_pro_preview.weatherapp.MainActivity
MemberIgnoringMethod;DAAP;/Users/rar9993/AndroidStudioProjects/WeatherApp;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java
SlowForLoop;DAAP;/Users/rar9993/AndroidStudioProjects/WeatherApp;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java
NoLowMemoryResolver;DAAP;/Users/rar9993/AndroidStudioProjects/WeatherApp;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java
DroppedData;DAAP;/Users/rar9993/AndroidStudioProjects/WeatherApp;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java
UnusedResources;Lint;/Users/rar9993/AndroidStudioProjects/WeatherApp;/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:6
UnusedResources;Lint;/Users/rar9993/AndroidStudioProjects/WeatherApp;/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:9
LogConditional;Lint;/Users/rar9993/AndroidStudioProjects/WeatherApp;/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java|line:324
UnusedResources;Lint;/Users/rar9993/AndroidStudioProjects/WeatherApp;/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/res/drawable/ic_partly_cloud.xml;file:/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/res/drawable/ic_partly_cloud.xml|line:1
UnusedResources;Lint;/Users/rar9993/AndroidStudioProjects/WeatherApp;/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:8
LogConditional;Lint;/Users/rar9993/AndroidStudioProjects/WeatherApp;/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java|line:317
UnusedResources;Lint;/Users/rar9993/AndroidStudioProjects/WeatherApp;/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:7
UnusedResources;Lint;/Users/rar9993/AndroidStudioProjects/WeatherApp;/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml;file:/Users/rar9993/AndroidStudioProjects/WeatherApp/NONE_TRANSFORMED_/app/src/main/res/values/colors.xml|line:3
FieldShouldBeStatic;SpotBugs;/Users/rar9993/AndroidStudioProjects/WeatherApp;com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java;file:com/sanad/gemini_2_dot_5_pro_preview/weatherapp/MainActivity.java|line:58
