Issue;Tool;Project;File;Location
LeakingInnerClass;aDoctor;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java|class:com.sanad.gemini_2_dot_5_pro_preview.game2048.GameView
MemberIgnoringMethod;aDoctor;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java|class:com.sanad.gemini_2_dot_5_pro_preview.game2048.GameView
SlowForLoop;aDoctor;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java|class:com.sanad.gemini_2_dot_5_pro_preview.game2048.GameView
MemberIgnoringMethod;aDoctor;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/MainActivity.java|class:com.sanad.gemini_2_dot_5_pro_preview.game2048.MainActivity
NoLowMemoryResolver;aDoctor;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/MainActivity.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/MainActivity.java|class:com.sanad.gemini_2_dot_5_pro_preview.game2048.MainActivity
RedundantFieldInitializer;PMD;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java|line:26
RedundantFieldInitializer;PMD;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java|line:27
RedundantFieldInitializer;PMD;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java|line:28
AvoidInstantiatingObjectsInLoops;PMD;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java|line:186
MemberIgnoringMethod;DAAP;/Users/rar9993/AndroidStudioProjects/game2048;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java
MemberIgnoringMethod;DAAP;/Users/rar9993/AndroidStudioProjects/game2048;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/MainActivity.java
SlowForLoop;DAAP;/Users/rar9993/AndroidStudioProjects/game2048;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java
NoLowMemoryResolver;DAAP;/Users/rar9993/AndroidStudioProjects/game2048;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/MainActivity.java
DroppedData;DAAP;/Users/rar9993/AndroidStudioProjects/game2048;/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/MainActivity.java;file:/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/MainActivity.java
SyntheticAccessor;Lint;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java|line:90
SyntheticAccessor;Lint;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java|line:315
SyntheticAccessor;Lint;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java|line:316
SyntheticAccessor;Lint;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java|line:313
SyntheticAccessor;Lint;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java|line:314
SyntheticAccessor;Lint;/Users/rar9993/AndroidStudioProjects/game2048;/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java;file:/Users/rar9993/AndroidStudioProjects/game2048/NONE_TRANSFORMED_/app/src/main/java/com/sanad/gemini_2_dot_5_pro_preview/game2048/GameView.java|line:284
