;Projissue;Projissue;;real_false_positive
aDoctor;LeakingInnerClass;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
aDoctor;SlowForLoop;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_false_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/game2048;MainActivity.java;real_false_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/AndroidStudioProjects/game2048;MainActivity.java;real_true_positive
PMD;RedundantFieldInitializer;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
PMD;RedundantFieldInitializer;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
PMD;RedundantFieldInitializer;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
PMD;AvoidInstantiatingObjectsInLoops;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_false_positive
DAAP;DroppedData;/Users/rar9993/AndroidStudioProjects/game2048;MainActivity.java;real_true_positive
Lint;DrawAllocation;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;DrawAllocation;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_false_positive
Lint;Overdraw;/Users/rar9993/AndroidStudioProjects/game2048;activity_main.xml;real_unknown
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
Lint;SyntheticAccessor;/Users/rar9993/AndroidStudioProjects/game2048;GameView.java;real_true_positive
aDoctor;MemberIgnoringMethod;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;MainActivity.java;real_true_positive
aDoctor;NoLowMemoryResolver;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;MainActivity.java;real_true_positive
aDoctor;SlowForLoop;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;MainActivity.java;real_false_positive
PMD;AppendCharacterWithChar;/Users/rar9993/AndroidStudioProjects/ScientificCalculator;MainActivity.java;real_true_positive
